
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign | 
    152.56787 |       8.99498 |       8.99498 |       0.00000 |      17.14250 |      12.14250 |       0.00250 |      25.78772 |     -80.27554 |       3.91616 |       0.32406 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    152.70770 |       9.09548 |       9.09548 |       0.00000 |      17.14253 |      12.14253 |       0.00253 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    152.85190 |       9.19598 |       9.19598 |       0.00000 |      17.14256 |      12.14255 |       0.00255 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    152.98969 |       9.29648 |       9.29648 |       0.00000 |      17.14258 |      12.14258 |       0.00258 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    153.12978 |       9.39699 |       9.39699 |       0.00000 |      17.14261 |      12.14261 |       0.00261 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    153.27055 |       9.49749 |       9.49749 |       0.00000 |      17.14264 |      12.14264 |       0.00264 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    153.41411 |       9.59799 |       9.59799 |       0.00000 |      17.14267 |      12.14267 |       0.00267 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    153.55428 |       9.69849 |       9.69849 |       0.00000 |      17.14269 |      12.14269 |       0.00269 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    153.69489 |       9.79900 |       9.79900 |       0.00000 |      17.14272 |      12.14272 |       0.00272 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    153.83911 |       9.89950 |       9.89950 |       0.00000 |      17.14275 |      12.14275 |       0.00275 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    153.98213 |      10.00000 |      10.00000 |       0.00000 |      17.14278 |      12.14278 |       0.00278 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    154.12862 |      10.10050 |      10.10050 |       0.00000 |      17.14281 |      12.14281 |       0.00281 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    154.26816 |      10.20100 |      10.20100 |       0.00000 |      17.14283 |      12.14283 |       0.00283 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    154.41283 |      10.30151 |      10.30151 |       0.00000 |      17.14286 |      12.14286 |       0.00286 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    154.55309 |      10.40201 |      10.40201 |       0.00000 |      17.14289 |      12.14289 |       0.00289 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    154.69220 |      10.50251 |      10.50251 |       0.00000 |      17.14292 |      12.14292 |       0.00292 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    154.75986 |      10.55276 |      10.55276 |       0.00000 |      17.14293 |      12.14293 |       0.00293 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    154.90538 |      10.65327 |      10.65327 |       0.00000 |      17.14296 |      12.14296 |       0.00296 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    155.04948 |      10.75377 |      10.75377 |       0.00000 |      17.14299 |      12.14299 |       0.00299 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    155.18997 |      10.85427 |      10.85427 |       0.00000 |      17.14301 |      12.14302 |       0.00302 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    155.33124 |      10.95477 |      10.95477 |       0.00000 |      17.14304 |      12.14304 |       0.00304 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    155.46956 |      11.05528 |      11.05528 |       0.00000 |      17.14307 |      12.14307 |       0.00307 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    155.61195 |      11.15578 |      11.15578 |       0.00000 |      17.14310 |      12.14310 |       0.00310 |      25.78772 |     -80.27554 |       3.91617 |       0.32408 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    155.75293 |      11.25628 |      11.25628 |       0.00000 |      17.14313 |      12.14313 |       0.00313 |      25.78772 |     -80.27554 |       3.91617 |       0.32408 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
